2024-10-21 21:36:34.099: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(1870, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 1870)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-10-21 21:36:34.099: Namespace(dataset='acm', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.4, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.0005, weight_decay=1e-06, n_clusters=3, n_input=1870)
2024-10-21 21:36:34.100: metrics:	 acc	 nmi	 ari	 f1
2024-10-21 21:44:58.296: epoch179 Q1:	0.9501	0.8107	0.8574	0.9502
2024-10-21 21:45:01.101: epoch180 Q1:	0.9501	0.8107	0.8574	0.9502
2024-10-21 21:45:03.878: epoch181 Q1:	0.9498	0.8099	0.8565	0.9498
2024-10-21 21:45:06.675: epoch182 Q1:	0.9491	0.8084	0.8547	0.9492
2024-10-21 21:45:09.491: epoch183 Q1:	0.9484	0.8064	0.8529	0.9485
2024-10-21 21:45:12.370: epoch184 Q1:	0.9488	0.8072	0.8538	0.9488
2024-10-21 21:45:15.152: epoch185 Q1:	0.9491	0.8079	0.8547	0.9492
2024-10-21 21:45:17.987: epoch186 Q1:	0.9494	0.8087	0.8556	0.9495
2024-10-21 21:45:20.858: epoch187 Q1:	0.9501	0.8102	0.8573	0.9502
2024-10-21 21:45:23.700: epoch188 Q1:	0.9501	0.8102	0.8573	0.9502
2024-10-21 21:45:26.488: epoch189 Q1:	0.9494	0.8087	0.8556	0.9495
2024-10-21 21:45:29.280: epoch190 Q1:	0.9491	0.8067	0.8546	0.9492
2024-10-21 21:45:32.099: epoch191 Q1:	0.9474	0.8030	0.8502	0.9475
2024-10-21 21:45:34.888: epoch192 Q1:	0.9481	0.8061	0.8521	0.9482
2024-10-21 21:45:37.682: epoch193 Q1:	0.9481	0.8061	0.8521	0.9482
2024-10-21 21:45:40.679: epoch194 Q1:	0.9491	0.8084	0.8547	0.9492
2024-10-21 21:45:43.501: epoch195 Q1:	0.9498	0.8099	0.8565	0.9498
2024-10-21 21:45:46.462: epoch196 Q1:	0.9501	0.8104	0.8573	0.9502
2024-10-21 21:45:49.289: epoch197 Q1:	0.9498	0.8092	0.8564	0.9498
2024-10-21 21:45:52.073: epoch198 Q1:	0.9491	0.8065	0.8546	0.9492
2024-10-21 21:45:54.909: epoch199 Q1:	0.9488	0.8060	0.8537	0.9488
2024-10-21 21:45:57.715: Best Acc is at epoch168:	0.9501	0.8107	0.8574	0.9502
