2024-11-05 21:51:06.459: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(3703, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 3703)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-11-05 21:51:06.460: Namespace(dataset='cite', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.3, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.001, weight_decay=0.01, n_clusters=6, n_input=3703)
2024-11-05 21:51:06.460: metrics:	 acc	 nmi	 ari	 f1
2024-11-05 21:52:59.881: epoch111 Q1:	0.7096	0.4521	0.4749	0.6629
2024-11-05 21:53:00.914: epoch112 Q1:	0.7093	0.4513	0.4739	0.6632
2024-11-05 21:53:01.945: epoch113 Q1:	0.7081	0.4497	0.4723	0.6626
2024-11-05 21:53:02.974: epoch114 Q1:	0.7093	0.4513	0.4743	0.6637
2024-11-05 21:53:03.978: epoch115 Q1:	0.7099	0.4517	0.4748	0.6642
2024-11-05 21:53:04.997: epoch116 Q1:	0.7109	0.4534	0.4764	0.6652
2024-11-05 21:53:06.024: epoch117 Q1:	0.7115	0.4542	0.4772	0.6662
2024-11-05 21:53:07.050: epoch118 Q1:	0.7102	0.4521	0.4753	0.6650
2024-11-05 21:53:08.056: epoch119 Q1:	0.7099	0.4513	0.4745	0.6646
2024-11-05 21:53:09.071: epoch120 Q1:	0.7099	0.4523	0.4750	0.6640
2024-11-05 21:53:10.091: epoch121 Q1:	0.7106	0.4531	0.4762	0.6643
2024-11-05 21:53:11.107: epoch122 Q1:	0.7096	0.4521	0.4752	0.6635
2024-11-05 21:53:12.111: epoch123 Q1:	0.7096	0.4528	0.4753	0.6633
2024-11-05 21:53:13.118: epoch124 Q1:	0.7093	0.4525	0.4746	0.6621
2024-11-05 21:53:14.149: epoch125 Q1:	0.7102	0.4540	0.4757	0.6633
2024-11-05 21:53:15.155: epoch126 Q1:	0.7102	0.4527	0.4753	0.6645
2024-11-05 21:53:16.156: epoch127 Q1:	0.7102	0.4524	0.4754	0.6645
2024-11-05 21:53:17.168: epoch128 Q1:	0.7102	0.4513	0.4743	0.6637
2024-11-05 21:53:18.178: epoch129 Q1:	0.7102	0.4522	0.4752	0.6637
2024-11-05 21:53:19.199: epoch130 Q1:	0.7102	0.4526	0.4758	0.6636
2024-11-05 21:53:20.208: epoch131 Q1:	0.7096	0.4519	0.4748	0.6632
2024-11-05 21:53:21.230: epoch132 Q1:	0.7112	0.4534	0.4767	0.6655
2024-11-05 21:53:22.237: epoch133 Q1:	0.7112	0.4539	0.4770	0.6655
2024-11-05 21:53:23.257: epoch134 Q1:	0.7112	0.4546	0.4772	0.6660
2024-11-05 21:53:24.271: epoch135 Q1:	0.7112	0.4542	0.4763	0.6660
2024-11-05 21:53:25.283: epoch136 Q1:	0.7106	0.4525	0.4749	0.6655
2024-11-05 21:53:26.291: epoch137 Q1:	0.7109	0.4529	0.4761	0.6657
2024-11-05 21:53:27.301: epoch138 Q1:	0.7102	0.4514	0.4747	0.6656
2024-11-05 21:53:28.300: epoch139 Q1:	0.7106	0.4533	0.4763	0.6644
2024-11-05 21:53:29.311: epoch140 Q1:	0.7087	0.4522	0.4741	0.6629
2024-11-05 21:53:30.317: epoch141 Q1:	0.7096	0.4531	0.4756	0.6648
2024-11-05 21:53:31.330: epoch142 Q1:	0.7087	0.4508	0.4737	0.6640
2024-11-05 21:53:32.327: epoch143 Q1:	0.7084	0.4488	0.4724	0.6636
2024-11-05 21:53:33.332: epoch144 Q1:	0.7078	0.4477	0.4714	0.6630
2024-11-05 21:53:34.331: epoch145 Q1:	0.7084	0.4495	0.4724	0.6635
2024-11-05 21:53:35.362: epoch146 Q1:	0.7081	0.4489	0.4722	0.6633
2024-11-05 21:53:36.415: epoch147 Q1:	0.7069	0.4472	0.4703	0.6623
2024-11-05 21:53:37.436: epoch148 Q1:	0.7078	0.4483	0.4715	0.6635
2024-11-05 21:53:38.460: epoch149 Q1:	0.7078	0.4489	0.4717	0.6636
2024-11-05 21:53:39.484: epoch150 Q1:	0.7075	0.4482	0.4714	0.6638
2024-11-05 21:53:40.510: epoch151 Q1:	0.7081	0.4492	0.4723	0.6640
2024-11-05 21:53:41.532: epoch152 Q1:	0.7087	0.4497	0.4732	0.6645
2024-11-05 21:53:42.548: epoch153 Q1:	0.7096	0.4513	0.4744	0.6643
2024-11-05 21:53:43.572: epoch154 Q1:	0.7099	0.4509	0.4742	0.6654
2024-11-05 21:53:44.598: epoch155 Q1:	0.7099	0.4508	0.4744	0.6656
2024-11-05 21:53:45.623: epoch156 Q1:	0.7090	0.4495	0.4728	0.6648
2024-11-05 21:53:46.644: epoch157 Q1:	0.7087	0.4480	0.4715	0.6644
2024-11-05 21:53:47.669: epoch158 Q1:	0.7090	0.4490	0.4724	0.6651
2024-11-05 21:53:48.689: epoch159 Q1:	0.7081	0.4478	0.4709	0.6642
2024-11-05 21:53:49.712: epoch160 Q1:	0.7078	0.4478	0.4707	0.6622
2024-11-05 21:53:50.765: epoch161 Q1:	0.7069	0.4469	0.4693	0.6614
2024-11-05 21:53:51.894: epoch162 Q1:	0.7075	0.4482	0.4703	0.6625
2024-11-05 21:53:52.926: epoch163 Q1:	0.7081	0.4500	0.4705	0.6623
2024-11-05 21:53:53.954: epoch164 Q1:	0.7072	0.4495	0.4694	0.6616
2024-11-05 21:53:54.976: epoch165 Q1:	0.7069	0.4485	0.4692	0.6617
2024-11-05 21:53:56.002: epoch166 Q1:	0.7078	0.4486	0.4692	0.6629
2024-11-05 21:53:57.043: epoch167 Q1:	0.7069	0.4475	0.4679	0.6626
2024-11-05 21:53:58.087: epoch168 Q1:	0.7087	0.4503	0.4713	0.6650
2024-11-05 21:53:59.118: epoch169 Q1:	0.7081	0.4499	0.4706	0.6646
2024-11-05 21:54:00.150: epoch170 Q1:	0.7075	0.4488	0.4694	0.6641
2024-11-05 21:54:01.186: epoch171 Q1:	0.7078	0.4488	0.4695	0.6644
2024-11-05 21:54:02.208: epoch172 Q1:	0.7081	0.4491	0.4705	0.6650
2024-11-05 21:54:03.240: epoch173 Q1:	0.7084	0.4495	0.4713	0.6647
2024-11-05 21:54:04.272: epoch174 Q1:	0.7075	0.4479	0.4695	0.6629
2024-11-05 21:54:05.304: epoch175 Q1:	0.7084	0.4492	0.4700	0.6620
2024-11-05 21:54:06.325: epoch176 Q1:	0.7102	0.4519	0.4728	0.6649
2024-11-05 21:54:07.371: epoch177 Q1:	0.7084	0.4491	0.4712	0.6645
2024-11-05 21:54:08.399: epoch178 Q1:	0.7084	0.4483	0.4710	0.6651
2024-11-05 21:54:09.432: epoch179 Q1:	0.7072	0.4464	0.4691	0.6640
2024-11-05 21:54:10.463: epoch180 Q1:	0.7069	0.4470	0.4692	0.6637
2024-11-05 21:54:11.500: epoch181 Q1:	0.7063	0.4475	0.4685	0.6632
2024-11-05 21:54:12.534: epoch182 Q1:	0.7060	0.4469	0.4679	0.6629
2024-11-05 21:54:13.571: epoch183 Q1:	0.7066	0.4475	0.4685	0.6639
2024-11-05 21:54:14.601: epoch184 Q1:	0.7066	0.4476	0.4687	0.6640
2024-11-05 21:54:15.642: epoch185 Q1:	0.7081	0.4496	0.4708	0.6650
2024-11-05 21:54:16.701: epoch186 Q1:	0.7072	0.4485	0.4689	0.6631
2024-11-05 21:54:17.807: epoch187 Q1:	0.7066	0.4475	0.4677	0.6635
2024-11-05 21:54:18.853: epoch188 Q1:	0.7090	0.4507	0.4724	0.6659
2024-11-05 21:54:19.868: epoch189 Q1:	0.7081	0.4486	0.4707	0.6647
2024-11-05 21:54:20.887: epoch190 Q1:	0.7060	0.4467	0.4675	0.6629
2024-11-05 21:54:21.930: epoch191 Q1:	0.7057	0.4474	0.4679	0.6628
2024-11-05 21:54:22.957: epoch192 Q1:	0.7063	0.4479	0.4689	0.6634
2024-11-05 21:54:24.060: epoch193 Q1:	0.7069	0.4484	0.4700	0.6639
2024-11-05 21:54:25.107: epoch194 Q1:	0.7078	0.4491	0.4709	0.6646
2024-11-05 21:54:26.137: epoch195 Q1:	0.7090	0.4514	0.4731	0.6656
2024-11-05 21:54:27.181: epoch196 Q1:	0.7087	0.4517	0.4728	0.6648
2024-11-05 21:54:28.196: epoch197 Q1:	0.7087	0.4512	0.4725	0.6648
2024-11-05 21:54:29.211: epoch198 Q1:	0.7069	0.4493	0.4696	0.6636
2024-11-05 21:54:30.228: epoch199 Q1:	0.7072	0.4507	0.4708	0.6640
2024-11-05 21:54:31.104: Best Acc is at epoch97:	0.7127	0.4629	0.4802	0.6666
